epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,5601.66,0.88897,0.23342,0.03967,0.7158,0.89473,0.82055,0.84884,0.89477,0.71757,0.82055,0.84884,0.89397,0.88818,0.76491,0.12055,0.00484,0.64447,0.87412,0.00373,0.00373,0.00373
97,5659.77,0.87669,0.21119,0.03843,0.71317,0.89577,0.81491,0.85729,0.90676,0.72696,0.81986,0.85638,0.90762,0.90165,0.76474,0.10396,0.00431,0.63782,0.86958,0.003664,0.003664,0.003664
98,5718.26,0.88306,0.22751,0.03891,0.71346,0.89622,0.76286,0.89218,0.89986,0.73324,0.76286,0.89218,0.90008,0.89397,0.72967,0.09252,0.00451,0.61985,0.86584,0.003598,0.003598,0.003598
99,5776.86,0.86988,0.22341,0.03957,0.69477,0.89149,0.79265,0.88372,0.91145,0.73637,0.79667,0.87844,0.9116,0.90628,0.74378,0.09301,0.00466,0.62651,0.86943,0.003532,0.003532,0.003532
100,5835.06,0.87677,0.2213,0.04022,0.70518,0.89439,0.81283,0.84461,0.90602,0.72908,0.81427,0.84567,0.90409,0.90004,0.74833,0.09926,0.005,0.62897,0.87228,0.003466,0.003466,0.003466
101,5892.98,0.86713,0.20887,0.04017,0.70112,0.89376,0.8195,0.87738,0.91137,0.736,0.81752,0.87526,0.90974,0.90591,0.74172,0.09949,0.00463,0.62322,0.86848,0.0034,0.0034,0.0034
102,5951.4,0.86628,0.21663,0.03885,0.69688,0.89299,0.80939,0.87528,0.91017,0.74413,0.80939,0.87528,0.91033,0.90562,0.73809,0.0868,0.00448,0.60946,0.86543,0.003334,0.003334,0.003334
103,6009.12,0.85984,0.21535,0.03844,0.68258,0.88874,0.8412,0.83087,0.90646,0.74011,0.84013,0.82981,0.90512,0.90128,0.73104,0.09843,0.00423,0.61843,0.86653,0.003268,0.003268,0.003268
104,6067.65,0.86449,0.21411,0.03672,0.68222,0.88973,0.78976,0.8855,0.91578,0.74163,0.78882,0.88444,0.91425,0.90871,0.74131,0.0916,0.00432,0.61347,0.86733,0.003202,0.003202,0.003202
105,6125.54,0.85454,0.2146,0.03714,0.67805,0.88869,0.8006,0.88706,0.90609,0.73942,0.79965,0.886,0.90435,0.90052,0.73661,0.09181,0.00458,0.62165,0.86654,0.003136,0.003136,0.003136
106,6183.73,0.85326,0.21776,0.03774,0.68567,0.88592,0.83128,0.84895,0.91269,0.7402,0.83062,0.84778,0.91051,0.90564,0.73106,0.09504,0.00417,0.61679,0.86419,0.00307,0.00307,0.00307
107,6241.37,0.85589,0.20967,0.03977,0.68463,0.8881,0.83412,0.85624,0.90804,0.7375,0.83309,0.85518,0.9063,0.90243,0.74388,0.08676,0.00369,0.6158,0.86445,0.003004,0.003004,0.003004
108,6299.72,0.84576,0.19879,0.0355,0.66338,0.88569,0.80875,0.87632,0.90837,0.73759,0.80777,0.87526,0.90722,0.90311,0.74642,0.09644,0.00355,0.61356,0.86644,0.002938,0.002938,0.002938
109,6357.64,0.8381,0.19957,0.03571,0.67726,0.88675,0.80959,0.87192,0.91081,0.74182,0.8086,0.87086,0.90879,0.90604,0.72285,0.08536,0.00358,0.59759,0.86206,0.002872,0.002872,0.002872
110,6415.81,0.84579,0.20085,0.03671,0.67281,0.88349,0.81542,0.87325,0.91251,0.73828,0.81443,0.87219,0.91004,0.9058,0.73995,0.09489,0.00372,0.60035,0.86694,0.002806,0.002806,0.002806
111,6473.8,0.84086,0.20394,0.03737,0.665,0.88638,0.83403,0.84993,0.91318,0.74848,0.83299,0.84887,0.91179,0.90758,0.72307,0.09017,0.00348,0.59306,0.86585,0.00274,0.00274,0.00274
112,6532.09,0.83007,0.19327,0.03455,0.65846,0.88143,0.82142,0.85518,0.91546,0.74682,0.82034,0.85624,0.91388,0.90999,0.73969,0.09331,0.00326,0.59335,0.86417,0.002674,0.002674,0.002674
113,6590.28,0.83077,0.19177,0.03706,0.64971,0.88102,0.80595,0.87738,0.91209,0.74635,0.80498,0.87632,0.90876,0.90611,0.74196,0.08759,0.00337,0.60807,0.86622,0.002608,0.002608,0.002608
114,6648.49,0.82172,0.19155,0.03558,0.63886,0.87858,0.8292,0.86258,0.91987,0.75057,0.82972,0.86047,0.91912,0.91471,0.72695,0.09757,0.00336,0.59537,0.86106,0.002542,0.002542,0.002542
115,6706.58,0.82426,0.18526,0.03472,0.64864,0.88115,0.81666,0.86165,0.9186,0.75278,0.81666,0.86165,0.91864,0.91288,0.7201,0.08961,0.00328,0.59065,0.86123,0.002476,0.002476,0.002476
116,6764.84,0.8181,0.18509,0.03649,0.64172,0.88206,0.81727,0.84672,0.90612,0.73106,0.81888,0.84567,0.90171,0.89772,0.75019,0.09673,0.00306,0.6305,0.86692,0.00241,0.00241,0.00241
