epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,5331.67,0.99411,0.31964,0.04514,0.78456,0.97947,0.76937,0.85691,0.8814,0.67316,0.77032,0.85797,0.88237,0.87467,0.8325,0.12493,0.00317,0.71426,0.93791,0.003994,0.003994,0.003994
93,5389.32,1.00453,0.33612,0.04775,0.79579,0.99082,0.74836,0.86138,0.88343,0.67239,0.74881,0.85835,0.88134,0.87493,0.86473,0.12589,0.00433,0.71307,0.94365,0.003928,0.003928,0.003928
94,5447.37,0.99929,0.3237,0.04467,0.79279,0.9809,0.77099,0.86681,0.88585,0.68087,0.78156,0.85941,0.88716,0.87805,0.82792,0.12161,0.00355,0.68827,0.93411,0.003862,0.003862,0.003862
95,5505.13,0.99573,0.32677,0.04634,0.79168,0.98004,0.78665,0.84567,0.88497,0.67835,0.78772,0.84144,0.88486,0.87551,0.85458,0.14553,0.00399,0.69839,0.94179,0.003796,0.003796,0.003796
96,5563.35,0.99749,0.32848,0.04583,0.78739,0.97997,0.77129,0.84672,0.88747,0.68856,0.76936,0.84461,0.88418,0.87766,0.82369,0.1318,0.0031,0.71519,0.93495,0.00373,0.00373,0.00373
97,5621,0.98362,0.3117,0.04607,0.78164,0.98041,0.79851,0.84621,0.89476,0.67288,0.79751,0.84515,0.8931,0.88585,0.85903,0.13023,0.00376,0.69881,0.94104,0.003664,0.003664,0.003664
98,5679.33,0.98608,0.31408,0.04636,0.77765,0.9787,0.78234,0.82981,0.88494,0.68191,0.7856,0.83192,0.88676,0.87697,0.82967,0.12595,0.00331,0.70289,0.93283,0.003598,0.003598,0.003598
99,5737.34,0.98353,0.30916,0.0449,0.76843,0.97138,0.77579,0.86364,0.8911,0.68235,0.77498,0.85941,0.89001,0.88249,0.83883,0.12156,0.00398,0.69234,0.93291,0.003532,0.003532,0.003532
100,5795.5,0.99047,0.3165,0.04763,0.77536,0.97919,0.80249,0.84249,0.89602,0.67675,0.80441,0.83907,0.89372,0.88505,0.85263,0.12321,0.00373,0.67953,0.93553,0.003466,0.003466,0.003466
101,5853.34,0.97871,0.30093,0.04718,0.78132,0.98004,0.80649,0.8129,0.88818,0.68151,0.80544,0.81184,0.88528,0.87876,0.85056,0.1257,0.00363,0.68903,0.93552,0.0034,0.0034,0.0034
102,5911.13,0.97997,0.3143,0.04577,0.77606,0.97653,0.7828,0.85718,0.89639,0.68896,0.78087,0.85507,0.89434,0.88662,0.82934,0.13086,0.00417,0.69212,0.92942,0.003334,0.003334,0.003334
103,5969.18,0.9706,0.30928,0.04488,0.7627,0.97224,0.79735,0.80973,0.87769,0.67045,0.80676,0.80338,0.8778,0.86703,0.82372,0.12451,0.00331,0.70457,0.93085,0.003268,0.003268,0.003268
104,6026.99,0.96526,0.29359,0.04228,0.75361,0.96935,0.80284,0.84567,0.89012,0.67906,0.8029,0.8483,0.8909,0.88234,0.85188,0.12103,0.00413,0.69963,0.93735,0.003202,0.003202,0.003202
105,6084.44,0.96006,0.28957,0.04267,0.75335,0.96839,0.82106,0.79598,0.88376,0.68314,0.82106,0.79598,0.88025,0.87261,0.81959,0.13061,0.00307,0.68805,0.92858,0.003136,0.003136,0.003136
106,6142.12,0.9665,0.31011,0.0439,0.75942,0.96794,0.79367,0.83298,0.88552,0.69016,0.79166,0.83087,0.88454,0.87782,0.82402,0.12715,0.003,0.69175,0.9276,0.00307,0.00307,0.00307
107,6199.77,0.95764,0.29632,0.04645,0.75582,0.9665,0.81009,0.82519,0.89152,0.68693,0.81113,0.82625,0.8925,0.88441,0.81753,0.1206,0.0035,0.69292,0.92928,0.003004,0.003004,0.003004
108,6257.91,0.95505,0.28896,0.04242,0.74551,0.96735,0.81257,0.8277,0.89042,0.68813,0.81361,0.82875,0.89017,0.88256,0.81982,0.12038,0.00258,0.66916,0.92258,0.002938,0.002938,0.002938
109,6316.02,0.95172,0.28928,0.04248,0.75195,0.96754,0.80299,0.84038,0.89409,0.69037,0.80299,0.84038,0.89447,0.88507,0.81111,0.13018,0.00329,0.68563,0.92618,0.002872,0.002872,0.002872
110,6374.39,0.95619,0.29558,0.04487,0.75092,0.96675,0.79616,0.85054,0.88938,0.67828,0.79616,0.85054,0.8867,0.87988,0.83098,0.12114,0.00306,0.68561,0.92951,0.002806,0.002806,0.002806
111,6432.3,0.95078,0.28768,0.0456,0.74544,0.96484,0.78543,0.87738,0.89073,0.68603,0.78543,0.87738,0.89097,0.88427,0.8298,0.11988,0.00305,0.67217,0.92634,0.00274,0.00274,0.00274
112,6490.2,0.94366,0.28494,0.04109,0.74126,0.96042,0.78645,0.85729,0.88943,0.68412,0.78873,0.85635,0.8905,0.88293,0.82358,0.11295,0.00303,0.67133,0.9272,0.002674,0.002674,0.002674
113,6547.77,0.945,0.28854,0.04433,0.73785,0.96089,0.79167,0.85159,0.89222,0.68714,0.79037,0.84891,0.89244,0.88515,0.81627,0.12234,0.00291,0.67357,0.92295,0.002608,0.002608,0.002608
114,6605.52,0.94194,0.28039,0.04223,0.73352,0.96333,0.80374,0.83615,0.88416,0.68303,0.80679,0.83932,0.88547,0.8779,0.81235,0.11148,0.00223,0.68367,0.92153,0.002542,0.002542,0.002542
115,6663.39,0.94404,0.28645,0.04231,0.7325,0.96005,0.8073,0.81928,0.8858,0.68979,0.81043,0.82246,0.88751,0.88203,0.80643,0.1112,0.00255,0.68269,0.92049,0.002476,0.002476,0.002476
116,6720.99,0.93751,0.28462,0.04338,0.72782,0.96099,0.78735,0.84542,0.89462,0.69409,0.78834,0.84648,0.8949,0.88751,0.81152,0.12245,0.0022,0.68608,0.92394,0.00241,0.00241,0.00241
