epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,5016.29,0.96725,0.30892,0.05449,0.78454,0.92416,0.79661,0.7981,0.8774,0.66889,0.79661,0.7981,0.87583,0.86738,0.86889,0.13494,0.00578,0.73999,0.90161,0.004324,0.004324,0.004324
88,5074.13,0.98918,0.31482,0.05719,0.79715,0.9283,0.77479,0.80372,0.868,0.67632,0.77479,0.80372,0.86689,0.859,0.83365,0.15455,0.00524,0.73487,0.89528,0.004258,0.004258,0.004258
89,5131.9,0.96371,0.30934,0.05616,0.77998,0.92191,0.77586,0.85095,0.88236,0.69046,0.77682,0.85201,0.88265,0.87711,0.80667,0.11758,0.00522,0.70821,0.89141,0.004192,0.004192,0.004192
90,5189.19,0.97543,0.32204,0.05657,0.78642,0.92587,0.75134,0.84002,0.87413,0.68247,0.75597,0.83615,0.87339,0.86647,0.83783,0.13727,0.00549,0.71575,0.8961,0.004126,0.004126,0.004126
91,5246.8,0.9606,0.29934,0.05561,0.76843,0.91935,0.77246,0.81822,0.87129,0.6791,0.77364,0.81924,0.87184,0.86576,0.82809,0.11774,0.00535,0.72163,0.89176,0.00406,0.00406,0.00406
92,5304.55,0.95161,0.28977,0.05241,0.76107,0.91552,0.73857,0.85411,0.87004,0.6877,0.73766,0.85306,0.86956,0.86421,0.81046,0.13199,0.00508,0.7097,0.88923,0.003994,0.003994,0.003994
93,5362.18,0.95485,0.29199,0.05587,0.76814,0.91992,0.78097,0.83192,0.87316,0.68966,0.78196,0.83298,0.87457,0.86639,0.80286,0.12963,0.00568,0.70598,0.8864,0.003928,0.003928,0.003928
94,5420.31,0.94629,0.28651,0.05262,0.76352,0.91498,0.77783,0.84355,0.88787,0.70766,0.77685,0.84249,0.88777,0.88245,0.79446,0.12487,0.00618,0.69928,0.88268,0.003862,0.003862,0.003862
95,5478.27,0.95676,0.28212,0.05362,0.76607,0.91862,0.7771,0.82981,0.8764,0.68846,0.7771,0.82981,0.87605,0.86939,0.81452,0.11564,0.00439,0.71639,0.89106,0.003796,0.003796,0.003796
96,5536.13,0.95658,0.29909,0.0533,0.76346,0.91469,0.79549,0.8055,0.8745,0.68853,0.79549,0.8055,0.87567,0.86997,0.80231,0.12363,0.00543,0.71342,0.88767,0.00373,0.00373,0.00373
97,5593.61,0.92891,0.26532,0.05281,0.75233,0.91327,0.80334,0.81924,0.88591,0.69303,0.80438,0.8203,0.88602,0.87947,0.8146,0.12603,0.0051,0.698,0.89048,0.003664,0.003664,0.003664
98,5651.59,0.9406,0.28082,0.0527,0.748,0.91406,0.80682,0.80352,0.87879,0.7014,0.8075,0.80258,0.87902,0.87326,0.79213,0.11602,0.00447,0.69408,0.88162,0.003598,0.003598,0.003598
99,5709.27,0.93888,0.28418,0.05333,0.73505,0.91093,0.7605,0.84567,0.88304,0.68985,0.76174,0.84461,0.88169,0.87426,0.81287,0.12858,0.0057,0.70537,0.89131,0.003532,0.003532,0.003532
100,5767.03,0.94821,0.27959,0.05424,0.75314,0.91519,0.77641,0.82956,0.88072,0.70407,0.77641,0.82956,0.88079,0.87585,0.79103,0.11566,0.00594,0.68385,0.88125,0.003466,0.003466,0.003466
101,5824.64,0.9279,0.26225,0.05319,0.7451,0.91047,0.78654,0.81501,0.8888,0.70832,0.78654,0.81501,0.88831,0.88254,0.80039,0.12222,0.00514,0.68899,0.88737,0.0034,0.0034,0.0034
102,5882.26,0.93378,0.27669,0.05229,0.73525,0.9129,0.78974,0.83404,0.88123,0.70374,0.78935,0.83181,0.87921,0.87314,0.7848,0.12952,0.00524,0.71325,0.8816,0.003334,0.003334,0.003334
103,5939.87,0.91543,0.26996,0.05058,0.72782,0.90802,0.77671,0.84203,0.88496,0.70565,0.79128,0.82155,0.8843,0.88046,0.79957,0.11656,0.00432,0.69156,0.88177,0.003268,0.003268,0.003268
104,5997.55,0.93246,0.26554,0.04996,0.72714,0.90861,0.80721,0.81879,0.88822,0.71176,0.80714,0.81842,0.88757,0.88223,0.77815,0.12441,0.0048,0.69054,0.87995,0.003202,0.003202,0.003202
105,6054.77,0.91002,0.26549,0.05027,0.71953,0.90607,0.7745,0.82981,0.88271,0.70189,0.7745,0.82981,0.88024,0.87439,0.79409,0.12671,0.00492,0.69572,0.88561,0.003136,0.003136,0.003136
106,6112.31,0.91948,0.27316,0.0517,0.72816,0.90686,0.7859,0.8351,0.89615,0.70928,0.78386,0.83955,0.8958,0.89013,0.79886,0.13075,0.00364,0.67466,0.88188,0.00307,0.00307,0.00307
107,6169.67,0.92349,0.26648,0.05356,0.72724,0.90694,0.76984,0.83404,0.88285,0.70198,0.76984,0.83404,0.88322,0.87812,0.79969,0.11957,0.00352,0.69034,0.88742,0.003004,0.003004,0.003004
108,6227.75,0.91422,0.25457,0.04939,0.71558,0.90584,0.79206,0.84144,0.89641,0.71373,0.79291,0.83615,0.89452,0.88854,0.79974,0.13622,0.00396,0.66335,0.88708,0.002938,0.002938,0.002938
109,6285.37,0.90994,0.25517,0.04909,0.72622,0.90732,0.78121,0.84923,0.89289,0.70677,0.78089,0.84767,0.89225,0.88698,0.81094,0.11801,0.00432,0.66703,0.88713,0.002872,0.002872,0.002872
110,6343,0.91282,0.26065,0.04976,0.71601,0.90393,0.80108,0.82584,0.88943,0.7077,0.80005,0.82478,0.88858,0.8844,0.79179,0.11837,0.00374,0.67583,0.882,0.002806,0.002806,0.002806
111,6400.61,0.90319,0.25347,0.05168,0.70654,0.90378,0.80688,0.83087,0.89483,0.7174,0.81318,0.83087,0.89437,0.88962,0.77907,0.11311,0.00368,0.66428,0.87548,0.00274,0.00274,0.00274
112,6458.24,0.89547,0.24414,0.04696,0.70578,0.8995,0.788,0.83932,0.89292,0.7178,0.788,0.83932,0.89149,0.8887,0.78635,0.10373,0.00355,0.66991,0.87633,0.002674,0.002674,0.002674
113,6515.89,0.90308,0.25497,0.05054,0.69712,0.90379,0.75154,0.86892,0.88434,0.70996,0.75083,0.86892,0.88293,0.87982,0.78655,0.11096,0.00477,0.69481,0.87752,0.002608,0.002608,0.002608
114,6574.22,0.89578,0.25041,0.04839,0.69151,0.90107,0.81482,0.83827,0.89676,0.7179,0.81379,0.83721,0.89563,0.89089,0.78111,0.11605,0.00366,0.66663,0.87731,0.002542,0.002542,0.002542
115,6632.11,0.88709,0.25053,0.04879,0.68945,0.8999,0.792,0.83316,0.89113,0.70801,0.792,0.83316,0.88925,0.88463,0.79258,0.12623,0.0038,0.67719,0.88211,0.002476,0.002476,0.002476
116,6690.25,0.88949,0.25054,0.04987,0.69723,0.9012,0.77384,0.84278,0.89043,0.71186,0.77498,0.84098,0.88769,0.88355,0.79147,0.11636,0.00396,0.68066,0.88088,0.00241,0.00241,0.00241
